bib_key,artifact_view,application_view
Code_RFAgent2025,true,true
D3_SceneWeaver2025,true,true
Text_MLRBench2025,true,true
Code_Cognify2025,true,false
Code_ToolSQL2025,true,false
D3_MapAgent2026,true,true
Text_ProfiliTable2026,true,true
Web_ComUICoder2026,true,true
Web_ProductWebGen2026,true,true
Text_SheetAgent2025,true,true
Code_ReFuGe2026,true,false
Report_LateralReader2026,true,false
Code_RUCACoder2026,true,true
Video_ATVG2026,true,true
Text_SurGE2026,true,true
Report_DRAGUNResources2026,true,false
Web_WebCode2M2025,true,true
Video_RLVideoEditing2023,true,true
D3_IIDRS2023,true,true
Image_CompositionalNeuralPainter2023,true,true
Image_DualAgentSketching2024,true,true
Code_DeFine2024,true,true
D3_Edit3D2024,true,true
D3_iControl3D2024,true,true
Image_GRefine2024,true,true
Image_CEARI2025,true,false
Video_Gen4Track2025,true,true
Audio_AudioGenie2025,true,true
Animation_ParticleGen2026,true,true
Audio_SoundscapeAgent2026,true,true
Code_BackendForge2026,true,true
Code_CodeFlowBench2026,true,true
Code_NL2RepoBench2026,true,true
Code_WebDesignIter2026,true,true
D3_WorldAgents2026,true,true
Diagram_Crafter2026,true,true
Image_DrawAI2026,true,false
Image_ReDesign2026,true,true
Infrastructure_JarvisHub2026,false,true
LogicEnvGen2025,true,true
Music_RIME2026,true,true
Poster_PosterMELD2026,true,true
Spatial_AgenticDesigner2026,true,true
Text_MrDre2026,true,true
Video_FilmWorld2026,true,true
Video_PhysAgent2026,true,true
Video_VideoCoCo2026,true,true
DRACO2025,true,true
Audio_AudioOscar2026,true,true
Video_PhyT2V2025,true,true
Image_UniEditI2026,true,true
Image_MultiTurnConsistent2025,true,true
Image_Idea2Img2024,true,true
D3_DreamScene3602024,true,true
D3_ChatEdit3D2024,true,true
Code_MapCoder2024,true,true
D3_SceneGenAgent2025,true,true
DataViz_AMACE2025,true,true
Code_CodeTree2025,true,true
Image_CultureTRIP2025,true,true
Text_MCQGSRefine2025,true,true
Animation_LogoMotion2025,true,true
Game_DreamGarden2025,true,true
DataViz_DataFormulator2_2025,true,true
Image_APPO2026,true,true
Poster_AutoDesign2026,true,true
